queue_rank,score_include,title,abstract,record_id,priority_bucket
1,0.973941807117726,Challenges in pediatric post-sepsis care in resource limited settings: a narrative reviewTranslational Pediatrics,"<b>OBJECTIVE</b>: The objective of this narrative review is to outline the current epidemiology and interventional research within the context of sepsis recovery, and to provide a summary of key priorities for future work in this area._x000D_<b>BACKGROUND</b>: Morbidity and mortality secondary to sepsis disproportionately affects children, especially those in low- and middle-income countries (LMICs), where over 85% of global cases and deaths occur. These regions are plagued by poorly resilient health systems, widespread socio-economic deprivation and unique vulnerabilities such as malnutrition. Reducing the overall burden of sepsis will require a multi-pronged strategy that addresses all three important periods along the sepsis care continuum - pre-facility, facility and post-facility. Of these aspects, post-facility issues have been largely neglected in research, practice and policy, and are thus the focus of this review._x000D_<b>METHODS</b>: Relevant data for this review was identified through a literature search using PubMed, through a review of the citations of select systematic reviews and from the personal repositories of articles collected by the authors. Data is presented within three sections. The first two sections on the short and long-term outcomes among sepsis survivors each outline the epidemiology as well as review relevant interventional research done. Where clear gaps exist, these are stated. The third section focuses on priorities for future research. This section highlights the importance of data (and data systems) and of innovative interventional approaches, as key areas to improve research of post-sepsis outcomes in children._x000D_<b>CONCLUSIONS</b>: During the initial post-facility period, mortality is high with as many children dying during this period as during the acute period of hospitalization, mostly due to recurrent illness (including infections) which are associated with malnutrition and severe acute disease. Long-term outcomes, often labelled as post-sepsis syndrome (PSS), are characterized by a lag in developmental milestones and suboptimal quality of life (QoL). While long-term outcomes have not been well characterized in resource limited settings, they are well described in high-income countries (HICs), and likely are important contributors to long-term morbidity in resource limited settings. The paucity of interventional research to improve post-discharge outcomes (short- or long-term) is a clear gap in addressing its burden. A focus on the development of improved data systems for collecting routine data, standardized definitions and terminology and a health-systems approach in research need to be prioritized during any efforts to improve outcomes during the post-sepsis phase.",13079,high
2,0.8939544596741231,The burden of COVID-19 based on disability-adjusted life years: a systematic review of available evidenceFrontiers in Public Health,"Background: The present study tries to evaluate and summarize the available evidence to provide insights into the COVID-19 burden worldwide using disability-adjusted life years (DALYs) and compare the level of damage across countries during this pandemic. Method: We conducted a systematic review following the preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines to investigate the global burden of COVID-19. Studies were identified through searches conducted on Ovid Medline, Cochrane, Science Direct, Scopus, and PubMed databases as well as, the Google Scholar search engine. All stages of the search, study selection, qualitative assessment, and data extraction were carried out by two authors separately. Any disagreement among reviewers was resolved by discussion. Results: The total DALYs incurred by COVID-19 varied widely among nations, with rates per 100,000 population ranging from approximately 5 in Korea to 5,363 in the US. Deaths due to COVID-19 could substantially impact years of life lost (YLLs), emerging as a major contributing factor to DALYs. Furthermore, unlike in high-income countries, a significant proportion of YLLs in low- and middle-income countries is associated with individuals dying at younger ages. Years lived with disability (YLDs) were also identified as a minor contributing factor to DALY estimates associated with COVID-19. Conclusion: Our findings from this investigation provide valuable insights into the impacts of COVID-19 on global health that may be an important basis for assessing its global burden, facilitating international comparisons, and allocating efforts to manage the epidemic. However, challenges persist in identifying and quantifying the economic costs and non-health effects of the event on an international scale.",143859,high
3,0.8870664499263352,Health Consequences of Environmental Exposures: Changing Global Patterns of Exposure and DiseaseAnnals of Global Health,"Environmental pollution is a major cause of disease and death. Exposures in early life are especially dangerous. Patterns of exposure vary greatly across countries. In low-income and lower middle income countries (LMICs), infectious, maternal, neonatal, and nutritional diseases are still major contributors to disease burden. By contrast, in upper middle income and high-income countries noncommunicable diseases predominate. To examine patterns of environmental exposure and disease and to relate these patterns to levels of income and development, we obtained publically available data in 12 countries at different levels of development through a global network of World Health Organization Collaborating Centres in Children's Environmental Health. Pollution exposures in early life contribute to both patterns. Chemical and pesticide pollution are increasing, especially in LMICs. Hazardous wastes, including electronic waste, are accumulating. Pollution-related chronic diseases are becoming epidemic. Future Global Burden of Disease estimates must pay increased attention to the short- and long-term consequences of environmental pollution.",41022,high
4,0.8823431094964477,"Syrian refugee women's health in Lebanon, Turkey, and Jordan and recommendations for improved practiceWorld Medical and Health Policy","Since 2011, over four million Syrian refugees have fled to neighboring countries of Lebanon, Turkey, and Jordan. Seventy-five percent of Syrian refugees are women and children. In times of conflict, women's health disproportionately suffers. Based on an assessment of academic literature and international policy and development reports, this study explores the vulnerabilities of Syrian women and girls in Lebanon, Turkey, and Jordan, and how these countries approach Syrian refugee women's health care. In all settings, sexual and gender-based violence, reduced use of modern contraceptives, menstrual irregularity, unplanned pregnancies, preterm birth, and infant morbidity are ongoing issues. Recommendations for improved practice include taking a multilevel approach to eliminate social and service delivery barriers that prevent access to care, conducting thorough needs assessments, and creating policy and programmatic solutions that establish long-term care for Syrian refugee women.",154984,high
5,0.8619207573214923,Excess mortality associated with HIV: Survey estimates from the PHIA projectDemographic Research [electronic resource],"<b>BACKGROUND</b>: Incomplete vital statistics systems in resource-limited countries hinder accurate HIV epidemic assessments. Population-based survey data combined with HIV infection biomarkers may partially address this gap, providing excess mortality estimates in households where people living with HIV (PLWH) reside._x000D_<b>OBJECTIVE</b>: Examine household-level excess HIV mortality in households with PLWH using population-based survey data, including mortality reported by heads of households, and HIV biomarkers._x000D_<b>METHODS</b>: We compared mortality between households with and without PLWH using publicly available data from 11 Population-based HIV Impact Assessments conducted between 2015 and 2019 in Cameroon, Cote d'Ivoire, Eswatini, Kenya, Malawi, Namibia, Rwanda, Tanzania, Uganda, Zambia, and Zimbabwe. Eligible, consenting household members provided blood for HIV testing. Household-level regression models estimated deaths per 1,000 person-years (PY) for the three-year period before the survey; death rate ratios were calculated. Quasi-Poisson distribution accounted for household death over-dispersion._x000D_<b>RESULTS</b>: Country-specific deaths rates per 1,000 PY were significantly higher among rural versus urban households for five countries. For example, in Cameroon, the rates were 9.3 (95% confidence interval [CI]: 8.7-9.9) versus 6.5 (95% CI: 5.9-7.1). In six countries, death rates were significantly higher (1.3-1.7-fold) among households with PLWH versus those without. Death rate ratios were significantly higher among rural (1.4-1.8-fold) and urban households (1.6-2.3-fold) with PLWH versus those without in four and three countries, respectively._x000D_<b>CONCLUSIONS</b>: General population household survey findings in multiple countries in Africa indicate that households where PLWH resided experienced excess mortality relative to other households._x000D_<b>CONTRIBUTION</b>: The novel approach we use to describe HIV-related household-level mortality offers an additional method to measure progress toward zero AIDS-related deaths.",1587,high
6,0.8593859203176129,Adolescent pregnancies in Turkey: a single center experienceAnnals of Saudi Medicine,"<b>BACKGROUND</b>: Adolescent pregnancies are more likely to be complicated with adverse perinatal outcomes._x000D_<b>OBJECTIVE</b>: Assess the sociodemographic and clinical characteristics of adolescents who have delivered singleton newborns._x000D_<b>DESIGN</b>: Retrospective cohort._x000D_<b>SETTINGS</b>: A tertiary training and research hospital in Turkey._x000D_<b>PATIENTS AND METHODS</b>: This was a review of adolescents and adults who delivered singleton newborns at a tertiary health center between January 2018 and June 2022. Pregnant adolescents were aged <20 years._x000D_<b>MAIN OUTCOME MEASURES</b>: Adverse maternal and perinatal outcomes._x000D_<b>SAMPLE SIZE</b>: 2233 pregnant women (754 adolescents and 1479 adults)._x000D_<b>RESULTS</b>: Turkish nationality was significantly less prevalent in pregnant adolescents than pregnant adults (P=.001). Oligohydramnios, fetal growth restriction, perineal injury and postpartum intravenous iron treatment were significantly more prevalent in pregnant adolescents than pregnant adults (P<.05 for all). The neonates born to adolescent mothers had significantly lower birth weight and first minute Apgar score than the neonates born to adult mothers (P=.001 for both). Small for gestational age, need for intensive care and death were significantly more prevalent in neonates born to adolescent mothers than those born to adult mothers (P=.001 for all). Compared with pregnant adults, pregnant adolescents had a significantly higher risk of oligohydramnios (P=.001), preterm delivery (P=.024), intravenous iron treatment (P=.001), and small for gestational age (P=.001)._x000D_<b>CONCLUSION</b>: Due to the refugee population received by Turkey, it would be prudent to expect more frequent adolescent pregnancies. Adolescent pregnancies are more likely to be complicated with low birth weight, oligohydramnios, preterm delivery, postpartum iron treatment, lower Apgar scores, need for neonatal intensive care and neonatal death._x000D_<b>LIMITATION</b>: Retrospective.",8186,high
7,0.822671839553569,Global Child NutritionGastroenterology Clinics of North America,"Under-five years of age is a critical period for child growth and psychomotor development with lifelong influence. Nutritional status assessment by anthropometry indicates millions of children at extreme vulnerability. Characterization of wasting as moderate or severe determines morbidity and mortality risk and therapeutic interventions. Stunting has distinct adverse sequelae and is more difficult to ameliorate. Causal mechanisms of malnutrition are complex but essential components have been identified and guide preventive and therapeutic interventions. Micronutrient deficiencies also remain a public health problem. Steep declines in global nutrition funding for programs, research, and multisectoral capacities are expected to reverse decades long gains.",2168,high
8,0.8202977548853947,Thoracic trauma in military settings: a review of current practices and recommendationsCurrent Opinion in Anaesthesiology,"<b>PURPOSE OF REVIEW</b>: To examine current literature on thoracic trauma related to military combat and to explore its relevance to the civilian population._x000D_<b>RECENT FINDINGS</b>: Damage control resuscitation (DCR) has improved the management of hemorrhaging trauma patients. Permissive hypotension below 110 mmHg and antifibrinolytic use during DCR is widely accepted, whereas the use of freeze-dried plasma and whole blood is gaining popularity. The Modified Physiologic Triaging Tool can be used for primary triage and it may have applications in civilian trauma systems. Although Tactical Combat Casualty Care protocol recommends the Cric-Key device for surgical cricothyroidotomies, other devices may offer comparable performance. Recommendations for regional anesthesia after blunt trauma are not well defined. Increasing amounts of evidence favor the use of extracorporeal membrane oxygenation for refractory hypoxemia and resuscitative endovascular balloon occlusion of the aorta (REBOA) for severe hemorrhage. REBOA outcomes are potentially improved by partial occlusion and small 7 Fr catheters._x000D_<b>SUMMARY</b>: The Global War on Terror has provided opportunities to better understand and treat thoracic trauma in military settings. Trauma registries and other data sources have contributed to significant advancements in the management of thoracic trauma in military and civilian populations.",31718,high
9,0.8097877799865371,Pregnancy and newborn health - heat impacts and emerging solutionsSeminars in Perinatology,"Evidence is accumulating, both in the US and abroad, of the apparent serious health impacts of various environmental exposures tied to climate change. High ambient temperature, or heat, is a worsening global health risk. Heat risk is affected by many factors such as the magnitude, duration, and timing of exposure - such as specific, critical windows during pregnancy. This article focuses on the association of heat with both adverse pregnancy and newborn health outcomes. Regarding pregnancy, studies link heat and preterm birth, low birth weight and stillbirth. Multiple potential mechanisms support the biological plausibility of these associations. Emerging evidence suggests that heat, via epigenetics, may affect maternal health far beyond pregnancy. For newborn health impacts, heat is associated with increased hospitalization, neurologic and gastrointestinal dysfunction, and infant death. Research gaps include the need to study neonates separately from children and determining the mechanisms linking heat to adverse outcomes. We also highlight disparate adverse reproductive health outcomes for communities of color and low income tied to disproportionate exposures to environmental stressors like heat. Finally, we summarize educational and clinical tool resources for clinicians, information for patients, and opportunities for near-term action using the precautionary principle framework. Copyright © 2023 Elsevier Inc.",71853,high
10,0.8086603053048219,Disease and Non-Battle Injury in Deployed Military: A Systematic Review and Meta-analysisMilitary Medicine,"<b>INTRODUCTION</b>: Disease and non-battle injury (DNBI) has historically been the leading casualty type among service members in warfare and a leading health problem confronting military personnel, resulting in significant loss of manpower. Studies show a significant increase in disease burden for DNBI when compared to combat-related injuries. Understanding the causes of and trends in DNBI may help guide efforts to develop preventive measures and help increase medical readiness and resiliency. However, despite its significant disease burden within the military population, DNBI remains less studied than battle injury. In this review, we aimed to evaluate the recently published literature on DNBI and to describe the characteristics of these recently published studies._x000D_<b>MATERIALS AND METHODS</b>: This systematic review is reported in the Prospective Register of Systematic Reviews database. The systematic search for published articles was conducted through July 21, 2022, in Cumulative Index of Nursing and Allied Health, Cochrane Library, Defense Technical Information Center, Embase, and PubMed. Guided by the Preferred Reporting Items for Systematic Reviews and Meta-analyses, the investigators independently screened the reference lists on the Covidence website (covidence.org). An article was excluded if it met any of the following criteria: (1) Published not in English; (2) published before 2010; (3) data used before 2001; (4) case reports, commentaries, and editorial letters; (5) systematic reviews or narrative reviews; (6) used animal models; (7) mechanical or biomechanical studies; (8) outcome was combat injury or non-specified; (9) sample was veterans, DoD civilians, contractors, local nationals, foreign military, and others; (10) sample was U.S. Military academy; (11) sample was non-deployed; (12) bioterrorism study; (13) qualitative study. The full-text review of 2 independent investigators reached 96% overall agreement (166 of 173 articles; kappa = 0.89). Disagreements were resolved by a third reviewer. Study characteristics and outcomes were extracted from each article. Risk of bias was assessed using the Newcastle-Ottawa Scale. Meta-analysis of pooled estimates of incidence rates for disease (D), non-battle injury (NBI), and combined DNBI was created using random-effects models._x000D_<b>RESULTS</b>: Of the 3,401 articles, 173 were included for the full review and 29 (16.8%) met all inclusion criteria. Of the 29 studies included, 21 (72.4%) were retrospective designs, 5 (17.2%) were prospective designs, and 3 (10.3%) were surveys. Across all studies, the median number of total cases reported was 1,626 (interquartile range: 619.5-10,203). The results of meta-analyses for 8 studies with reported incidence rates (per 1,000 person-years) for D (n = 3), NBI (n = 7), and DNBI (n = 5) showed pooled incidence rates of 22.18 per 1,000 person-years for D, 19.86 per 1,000 person-years for NBI, and 50.97 per 1,000 person-years for combined DNBI. Among 3 studies with incidence rates for D, NBI, and battle injury, the incidence rates were 20.32 per 1,000 person-years for D, 6.88 per 1,000 person-years for NBI, and 6.83 per 1,000 person-years for battle injury._x000D_<b>CONCLUSIONS</b>: DNBI remains the leading cause of morbidity in conflicts involving the U.S. Military over the last 20 years. More research with stronger designs and consistent measurement is needed to improve medical readiness and maintain force lethality._x000D_<b>LEVEL OF EVIDENCE</b>: Systematic Review and Meta-Analysis, Level III.",6640,high
